trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,3,-160.0513592745004,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,15,-5.065671945581696,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-136.64409192304296,"{0: 13, 1: 6, 2: 4, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-129.3307567528132,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-102.80055621255651,"{0: 22, 1: 3, 2: 1, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-77.26273964619543,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-85.77159378968707,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-96.38790488635028,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-93.85250982385662,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,6,-63.09943999847798,"{0: 7, 1: 2, 2: 4, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,0,-98.28744735269173,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-103.26211117896209,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,8,-19.549955465030422,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-39.30910574966266,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,2,-5.7295658089742,"{0: 14, 1: 4, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-53.529961631439335,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,0,-92.47034390863149,"{0: 23, 1: 3, 2: 1, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-63.63738427107397,"{0: 20, 1: 0, 2: 1, 3: 4, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,14,9.064997294195834,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,16,6.451340814748847,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-56.5842521465127,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-11.04115072706552,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",35,0,-31.26656469162787,"{0: 30, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,0,-101.99847677160885,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",25,0,-74.96430053047145,"{0: 20, 1: 1, 2: 0, 3: 3, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-114.36849351533289,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,6,26.633435996987476,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,16.779564639103732,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,7,-45.44378553048828,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,15,16.29152944452262,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
