trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",20,0,-106.94456929025355,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.001, 'e': 0.999000499833375}",30,0,-114.2986979669671,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,0,-165.0624136543705,"{0: 7, 1: 4, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",30,0,-92.25317096135991,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",25,0,-258.3372170669987,"{0: 11, 1: 2, 2: 4, 3: 5, 4: 3}",0
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",20,0,-128.3132216776664,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",25,0,-22.626266051170813,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",30,0,-205.71598757873653,"{0: 18, 1: 1, 2: 6, 3: 2, 4: 3}",0
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",30,0,-169.6275225729673,"{0: 16, 1: 4, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",20,0,-14.203400900511555,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",20,0,-119.48841110781656,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",20,0,-132.34622953788946,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",20,0,-144.65695780196486,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",25,4,-48.96559114772105,"{0: 13, 1: 3, 2: 5, 3: 0, 4: 0}",1
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",30,0,-151.47876171474687,"{0: 14, 1: 5, 2: 8, 3: 3, 4: 0}",0
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",35,0,-229.19998177082167,"{0: 17, 1: 8, 2: 3, 3: 5, 4: 2}",0
17,False,"{'a': 0.001, 'e': 0.9841273200552851}",20,0,-104.09947435712611,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.001, 'e': 0.9831436846349096}",20,0,-152.06115681129066,"{0: 9, 1: 2, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.001, 'e': 0.9821610323583008}",20,0,-133.9306966014149,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
20,False,"{'a': 0.001, 'e': 0.981179362242806}",20,0,-38.92085214841107,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
21,False,"{'a': 0.001, 'e': 0.9801986733067553}",30,0,-153.24644097822747,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
