trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.32452197989603,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.982702642596955,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-195.7630926567072,"{0: 11, 1: 5, 2: 4, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",35,0,-160.58675219301466,"{0: 19, 1: 3, 2: 11, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.11826282944327,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-187.27267633243585,"{0: 20, 1: 1, 2: 4, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-190.61706176123184,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.09199200375484,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.70200935738876,"{0: 11, 1: 6, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-132.40750579826016,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,7,-96.01253009719662,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-160.29581911676223,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-79.12794333068638,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.50048227284852,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.07761803022225,"{0: 12, 1: 6, 2: 3, 3: 1, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-31.98854358933571,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-150.5081404828813,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.84168078743306,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-87.7688537780217,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.79318544943433,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,12,-48.9314857830417,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-19.988364775432142,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-25.657167926561407,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.73755189735839,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-138.94646642838512,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-162.57950600955851,"{0: 17, 1: 6, 2: 3, 3: 2, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-122.32653879014369,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-80.87289746750923,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,7.6777851791990805,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,7,-98.96517921117494,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 1}",1
